Coyote brown,0.51,0.38,0.24
Cotton candy,1,0.74,0.85
Cream,1,0.99,0.82
Crimson,0.86,0.08,0.24
Crimson glory,0.75,0,0.2
Crimson red,0.6,0,0
Crystal,0.65,0.85,0.87
Crystal blue,0.41,0.63,0.69
Cultured,0.96,0.96,0.96
Cyan,0,1,1
Cyan azure,0.31,0.51,0.71
Cyan-blue azure,0.27,0.51,0.75
Cyan cobalt blue,0.16,0.35,0.61
Cyan cornflower blue,0.09,0.55,0.76
Cyan (process),0,0.72,0.92
Cyber grape,0.35,0.26,0.49
Cyber yellow,1,0.83,0
Cyclamen,0.96,0.44,0.63
Daffodil,1,1,0.19
Dandelion,0.94,0.88,0.19
Dandelion (Crayola),0.99,0.86,0.43
Dark blue,0,0,0.55
Dark blue-gray,0.4,0.4,0.6
Dark bronze,0.5,0.29,0.18
Dark bronze (Coin),0.32,0.25,0
Dark brown,0.4,0.26,0.13
Dark brown-tangelo,0.53,0.4,0.31
Dark byzantium,0.36,0.22,0.33
Dark candy apple red,0.64,0,0
Dark cerulean,0.03,0.27,0.49
Dark charcoal,0.2,0.2,0.2
Dark chestnut,0.6,0.41,0.38
Dark chocolate,0.29,0.01,0.02
Dark chocolate (Hershey's),0.24,0.07,0.13
Dark cornflower blue,0.15,0.26,0.55
Dark coral,0.8,0.36,0.27
Dark cyan,0,0.55,0.55
Dark electric blue,0.33,0.41,0.47
Dark gold,0.67,0.42,0.22
Dark goldenrod,0.72,0.53,0.04
Dark gray (X11),0.66,0.66,0.66
Dark green,0,0.2,0.13
Dark green (X11),0,0.39,0
Dark gunmetal,0.12,0.15,0.16
Dark imperial blue,0,0.25,0.42
Dark imperial blue,0,0.08,0.49
Dark jungle green,0.1,0.14,0.13
Dark khaki,0.74,0.72,0.42
Dark lava,0.28,0.24,0.2
Dark lavender,0.45,0.31,0.59
Dark lemon lime,0.55,0.75,0.11
Dark liver,0.33,0.29,0.31
Dark liver (horses),0.33,0.24,0.22
Dark magenta,0.55,0,0.55
Dark medium gray,0.66,0.66,0.66
Dark midnight blue,0,0.2,0.4
Dark moss green,0.29,0.36,0.14
Dark Navy,0.01,0.03,0.36
Dark olive green,0.33,0.42,0.18
Dark orange,1,0.55,0
Dark orchid,0.6,0.2,0.8
Dark pastel blue,0.47,0.62,0.8
Dark pastel green,0.01,0.75,0.24
Dark pastel purple,0.59,0.44,0.84
Dark pastel red,0.76,0.23,0.13
Dark pink,0.91,0.33,0.5
Dark powder blue,0,0.2,0.6
Dark puce,0.31,0.23,0.24
Dark purple,0.19,0.1,0.2
Dark raspberry,0.53,0.15,0.34
Dark red,0.55,0,0
Dark salmon,0.91,0.59,0.48
Dark scarlet,0.34,0.01,0.1
Dark sea green,0.56,0.74,0.56
Dark sienna,0.24,0.08,0.08
Dark silver,0.44,0.44,0.43
Dark sky blue,0.55,0.75,0.84
Dark slate blue,0.28,0.24,0.55
Dark slate gray,0.18,0.31,0.31
Dark spring green,0.09,0.45,0.27
Dark tan,0.57,0.51,0.32
Dark tangerine,1,0.66,0.07
Dark taupe,0.28,0.24,0.2
Dark terra cotta,0.8,0.31,0.36
Dark turquoise,0,0.81,0.82
Dark vanilla,0.82,0.75,0.66
Dark violet,0.58,0,0.83
Dark yellow,0.61,0.53,0.05
Dartmouth green,0,0.44,0.24
Davy's grey,0.33,0.33,0.33
Debian red,0.84,0.04,0.33
Deep amethyst,0.61,0.54,0.64
Deep aquamarine,0.25,0.51,0.43
Deep carmine,0.66,0.13,0.24
Deep carmine pink,0.94,0.19,0.22
Deep carrot orange,0.91,0.41,0.17
Deep cerise,0.85,0.2,0.53
Deep champagne,0.98,0.84,0.65
Deep chestnut,0.73,0.31,0.28
Deep coffee,0.44,0.26,0.25
Deep dumpling,0.61,0.21,0.11
Deep fuchsia,0.76,0.33,0.76
Deep green,0.02,0.4,0.03
Deep green-cyan turquoise,0.05,0.49,0.38
Deep jungle green,0,0.29,0.29
Deep koamaru,0.2,0.2,0.4
Deep lemon,0.96,0.78,0.1
Deep lilac,0.6,0.33,0.73
Deep magenta,0.8,0,0.8
Deep maroon,0.51,0,0
Deep mauve,0.83,0.45,0.83
Deep moss green,0.21,0.37,0.23
Deep peach,1,0.8,0.64
Deep pink,1,0.08,0.58
Deep puce,0.66,0.36,0.41
Deep red,0.52,0,0
Deep ruby,0.52,0.25,0.36
Deep saffron,1,0.6,0.2
Deep sky blue,0,0.75,1
Deep Space Sparkle,0.29,0.39,0.42
Deep spring bud,0.33,0.42,0.18
Deep taupe,0.49,0.37,0.38
Deep Tuscan red,0.4,0.26,0.3
Deep violet,0.2,0,0.4
Deer,0.73,0.53,0.35
Delicate girl blue,0.42,0.7,0.79
Denim,0.08,0.38,0.74
Denim blue,0.13,0.26,0.71
Desaturated cyan,0.4,0.6,0.6
Desert,0.76,0.6,0.42
Desert sand,0.93,0.79,0.69
Desire,0.92,0.24,0.33
Diamond,0.73,0.95,1
Dim gray,0.41,0.41,0.41
Dingy Dungeon,0.77,0.19,0.32
Dirt,0.61,0.46,0.33
Dirty brown,0.71,0.4,0.12
